experiment,config_label,agent_type,run_id,seed,n_steps,attack_prob,learning_rate,lr_schedule,final_budget,avg_efficiency,avg_efficiency_first_half,avg_efficiency_second_half,final_lr,final_divergence
Long_Term,Static (Fixed Model),intelligent,0,42,5000,0.02,,fixed,-13310.352531158831,0.1029629026427865,0.136341618463397,0.06958418682217599,,
Long_Term,Static (Fixed Model),intelligent,1,43,5000,0.02,,fixed,-13199.537886505714,0.12671947132349015,0.18354127199053763,0.06989767065644265,,
Long_Term,Static (Fixed Model),intelligent,2,44,5000,0.02,,fixed,-13743.904803497957,0.28344008136835475,0.4966052763223008,0.07027488641440868,,
Long_Term,Static (Fixed Model),intelligent,3,45,5000,0.02,,fixed,-13339.994821400382,0.09693592792451382,0.12159213862717151,0.07227971722185612,,
Long_Term,Static (Fixed Model),intelligent,4,46,5000,0.02,,fixed,-13268.095951982308,0.11319772363901139,0.15843963413238527,0.0679558131456375,,
Long_Term,Static (Fixed Model),intelligent,5,47,5000,0.02,,fixed,-2928.5669118300784,3.143688311615341,3.78757104344368,2.4998055797870027,,
Long_Term,Static (Fixed Model),intelligent,6,48,5000,0.02,,fixed,-13299.48694675602,0.10502577151805162,0.13635268614590168,0.07369885689020157,,
Long_Term,Static (Fixed Model),intelligent,7,49,5000,0.02,,fixed,-13154.216709312052,0.13710358783751725,0.2082086078852415,0.06599856778979302,,
Long_Term,Static (Fixed Model),intelligent,8,50,5000,0.02,,fixed,-13351.667170796543,0.09507418585270644,0.12346873698234558,0.06667963472306729,,
Long_Term,Static (Fixed Model),intelligent,9,51,5000,0.02,,fixed,-13175.340398938395,0.13069964167177678,0.19070925379097461,0.07069002955257893,,
Long_Term,Learning (constant),intelligent_adaptive,0,42,5000,0.02,0.01,constant,33811.80402654661,11.988665750432348,11.844698399040716,12.13263310182398,0.01,2.633613605791882
Long_Term,Learning (constant),intelligent_adaptive,1,43,5000,0.02,0.01,constant,19530.427305670688,6.706192942830921,6.936793862390518,6.475592023271322,0.01,2.534253016411496
Long_Term,Learning (constant),intelligent_adaptive,2,44,5000,0.02,0.01,constant,-13336.130896845832,0.09895943736135959,0.1276439883083105,0.07027488641440868,0.01,2.355759968536932
Long_Term,Learning (constant),intelligent_adaptive,3,45,5000,0.02,0.01,constant,-12415.753371376573,1.3965518286839096,2.7208239401459626,0.07227971722185612,0.01,2.693037513521578
Long_Term,Learning (constant),intelligent_adaptive,4,46,5000,0.02,0.01,constant,11480.407044725289,5.097817968516051,6.460845039013028,3.7347908980190754,0.01,2.7118882051949083
Long_Term,Learning (constant),intelligent_adaptive,5,47,5000,0.02,0.01,constant,-14177.735124097457,0.1896879325884991,0.3083398913747893,0.0710359738022089,0.01,2.6548614599577967
Long_Term,Learning (constant),intelligent_adaptive,6,48,5000,0.02,0.01,constant,-13998.57231718589,0.27357159798106995,0.47344433907193834,0.07369885689020157,0.01,2.4002026606775257
Long_Term,Learning (constant),intelligent_adaptive,7,49,5000,0.02,0.01,constant,21048.32776343252,7.010606438481807,6.816350474971533,7.204862401992083,0.01,2.7593790835537604
Long_Term,Learning (constant),intelligent_adaptive,8,50,5000,0.02,0.01,constant,698.8694784301042,2.93785827883631,4.462073420733214,1.4136431369394065,0.01,3.1034898753442715
Long_Term,Learning (constant),intelligent_adaptive,9,51,5000,0.02,0.01,constant,-13375.019701953977,0.08969423410147428,0.10869843865036964,0.07069002955257893,0.01,2.913334023422716
Long_Term,Learning (decay),intelligent_adaptive,0,42,5000,0.02,0.01,decay,31219.24302435595,11.340316830696565,11.300489123916625,11.380144537476504,0.006065761532401023,2.7068187684860208
Long_Term,Learning (decay),intelligent_adaptive,1,43,5000,0.02,0.01,decay,19083.838683492504,6.617053780215978,6.742793687200546,6.491313873231411,0.006065761532401023,2.60629769246007
Long_Term,Learning (decay),intelligent_adaptive,2,44,5000,0.02,0.01,decay,-13336.130896845832,0.09895943736135959,0.1276439883083105,0.07027488641440868,0.006065761532401023,2.535750087310365
Long_Term,Learning (decay),intelligent_adaptive,3,45,5000,0.02,0.01,decay,-12417.965529671275,1.3965186191888703,2.7207575211558845,0.07227971722185612,0.006065761532401023,2.6845044092352763
Long_Term,Learning (decay),intelligent_adaptive,4,46,5000,0.02,0.01,decay,11007.900048784708,5.0031922809392215,6.413275721371174,3.593108840507269,0.006065761532401023,2.7407383415590902
Long_Term,Learning (decay),intelligent_adaptive,5,47,5000,0.02,0.01,decay,-14177.735124097457,0.1896879325884991,0.3083398913747893,0.0710359738022089,0.006065761532401023,2.445855237869469
Long_Term,Learning (decay),intelligent_adaptive,6,48,5000,0.02,0.01,decay,-13998.57231718589,0.27357159798106995,0.47344433907193834,0.07369885689020157,0.006065761532401023,2.532575063532781
Long_Term,Learning (decay),intelligent_adaptive,7,49,5000,0.02,0.01,decay,29664.43680202111,8.734008747646213,7.435548812907935,10.032468682384492,0.006065761532401023,2.774972193691357
Long_Term,Learning (decay),intelligent_adaptive,8,50,5000,0.02,0.01,decay,442.7017539809167,2.886486935001612,4.457473421138525,1.3155004488646984,0.006065761532401023,3.091550018049652
Long_Term,Learning (decay),intelligent_adaptive,9,51,5000,0.02,0.01,decay,-13375.019701953977,0.08969423410147428,0.10869843865036964,0.07069002955257893,0.006065761532401023,2.9325776346855785
