experiment,schedule,run_id,seed,n_steps,attack_prob,learning_rate,lr_schedule,final_budget,avg_efficiency,avg_efficiency_second_half,survival,final_lr
Schedule_Comparison,Constant,0,42,3000,0.02,0.01,constant,26906.024791322438,12.12541124483441,12.357956145216914,True,0.01
Schedule_Comparison,Constant,1,43,3000,0.02,0.01,constant,13537.674042582512,7.178501973509788,5.695820866028468,True,0.01
Schedule_Comparison,Constant,2,44,3000,0.02,0.01,constant,-7546.7021239269525,0.11813878958423932,0.07019808618724346,False,0.01
Schedule_Comparison,Constant,3,45,3000,0.02,0.01,constant,-6631.685919228969,2.279601370505983,0.06983809705575307,False,0.01
Schedule_Comparison,Constant,4,46,3000,0.02,0.01,constant,8891.560558569414,5.633348688495656,4.311532039150595,True,0.01
Schedule_Comparison,Constant,5,47,3000,0.02,0.01,constant,-8394.855057896366,0.2678976801366298,0.06565182835857074,False,0.01
Schedule_Comparison,Constant,6,48,3000,0.02,0.01,constant,-8222.627883597355,0.40616253743256875,0.06800133579969406,False,0.01
Schedule_Comparison,Constant,7,49,3000,0.02,0.01,constant,13495.017004541005,7.16520311311384,8.280021719932556,True,0.01
Schedule_Comparison,Constant,8,50,3000,0.02,0.01,constant,4355.817409172072,4.116810266748071,2.342964118530353,True,0.01
Schedule_Comparison,Constant,9,51,3000,0.02,0.01,constant,-7589.851500038058,0.10174999059488377,0.07129273901879787,False,0.01
Schedule_Comparison,Exponential Decay,0,42,3000,0.02,0.01,decay,24764.48810304117,10.92986920073002,10.48387067990242,True,0.007408811958704982
Schedule_Comparison,Exponential Decay,1,43,3000,0.02,0.01,decay,12802.672358989716,6.933501412987709,5.214819744984309,True,0.007408811958704982
Schedule_Comparison,Exponential Decay,2,44,3000,0.02,0.01,decay,-7546.7021239269525,0.11813878958423932,0.07019808618724346,False,0.007408811958704982
Schedule_Comparison,Exponential Decay,3,45,3000,0.02,0.01,decay,-6633.898077523672,2.279546021347585,0.06983809705575307,False,0.007408811958704982
Schedule_Comparison,Exponential Decay,4,46,3000,0.02,0.01,decay,8771.055230247584,5.592973097572724,4.2949322244872645,True,0.007408811958704982
Schedule_Comparison,Exponential Decay,5,47,3000,0.02,0.01,decay,-8394.855057896366,0.2678976801366298,0.06565182835857074,False,0.007408811958704982
Schedule_Comparison,Exponential Decay,6,48,3000,0.02,0.01,decay,-8222.627883597355,0.40616253743256875,0.06800133579969406,False,0.007408811958704982
Schedule_Comparison,Exponential Decay,7,49,3000,0.02,0.01,decay,16084.514514497365,8.02836894976596,9.929353441556295,True,0.007408811958704982
Schedule_Comparison,Exponential Decay,8,50,3000,0.02,0.01,decay,4170.817688393756,4.055100345765551,2.2195442765653133,True,0.007408811958704982
Schedule_Comparison,Exponential Decay,9,51,3000,0.02,0.01,decay,-7589.851500038058,0.10174999059488377,0.07129273901879787,False,0.007408811958704982
Schedule_Comparison,Adaptive,0,42,3000,0.02,0.01,adaptive,25812.337210197,11.270108255714177,8.9986822818319,True,0.002122139875468131
Schedule_Comparison,Adaptive,1,43,3000,0.02,0.01,adaptive,12727.674738436937,6.908502205620209,4.595487162609895,True,0.0040673702089009285
Schedule_Comparison,Adaptive,2,44,3000,0.02,0.01,adaptive,-7550.7743412181735,0.11672329065700372,0.07019808618724346,False,0.00229442894624999
Schedule_Comparison,Adaptive,3,45,3000,0.02,0.01,adaptive,-6540.550671307241,2.3868412924413334,0.06983809705575307,False,0.001728524573472194
Schedule_Comparison,Adaptive,4,46,3000,0.02,0.01,adaptive,8377.249990413635,5.462081915766,3.9379888741026323,True,0.001
Schedule_Comparison,Adaptive,5,47,3000,0.02,0.01,adaptive,-8394.855057896366,0.2678976801366298,0.06565182835857074,False,0.001
Schedule_Comparison,Adaptive,6,48,3000,0.02,0.01,adaptive,-8222.627883597355,0.40616253743256875,0.06800133579969406,False,0.001
Schedule_Comparison,Adaptive,7,49,3000,0.02,0.01,adaptive,19731.059101200546,9.243852373450995,12.316357137997946,True,0.0018631531239426445
Schedule_Comparison,Adaptive,8,50,3000,0.02,0.01,adaptive,6333.443981995806,4.777373811004063,3.47643612272044,True,0.012925909634522604
Schedule_Comparison,Adaptive,9,51,3000,0.02,0.01,adaptive,-7589.851500038058,0.10174999059488377,0.07129273901879787,False,0.001
