step,true_temp,sensed_temp,true_motor_temp,sensed_motor_temp,true_load,sensed_load,performance,is_under_attack,natural_anomaly_active,attack_detected,budget,revenue,cost_of_production,fixed_operational_cost,defense_cost,is_verifying_sensor,verification_paused
0,20.60968589782715,20.60968589782715,33.579341888427734,33.579341888427734,11.012887001037598,10.0,11.012887001037598,0,0,0,997.1064434051514,5.506443500518799,5.400000095367432,1.0,2.0,False,0
1,21.451515197753906,21.451515197753906,37.020408630371094,37.020408630371094,11.666528701782227,11.012887001037598,11.666528701782227,0,0,0,994.0433931350708,5.833264350891113,5.89631462097168,1.0,2.0,False,0
2,21.986156463623047,21.986156463623047,40.19300079345703,40.19300079345703,12.237922668457031,11.666528701782227,12.237922668457031,0,0,0,990.94575548172,6.118961334228516,6.216598987579346,1.0,2.0,False,0
3,22.446971893310547,22.446971893310547,43.21330642700195,43.21330642700195,12.467405319213867,12.237922668457031,12.467405319213867,0,0,0,987.6828761100769,6.233702659606934,6.49658203125,1.0,2.0,False,0
4,23.079029083251953,22.033695220947266,45.655941009521484,42.83000183105469,13.15803337097168,12.328057289123535,13.15803337097168,0,0,0,984.6514706611633,6.57901668548584,6.610422134399414,1.0,2.0,False,0
5,23.613651275634766,22.033695220947266,48.26860427856445,42.83000183105469,13.90813159942627,12.328057289123535,13.90813159942627,0,0,0,981.6498003005981,6.954065799713135,6.95573616027832,1.0,2.0,False,0
6,24.023983001708984,22.033695220947266,50.964656829833984,42.83000183105469,14.839808464050293,12.328057289123535,14.839808464050293,0,0,0,978.7389192581177,7.4199042320251465,7.330785274505615,1.0,2.0,False,0
7,24.4306697845459,22.033695220947266,53.343135833740234,42.83000183105469,15.485241889953613,12.328057289123535,15.485241889953613,0,0,0,975.6849164962769,7.742620944976807,7.796623706817627,1.0,2.0,False,0
8,24.743026733398438,22.033695220947266,55.722503662109375,42.83000183105469,16.12770652770996,12.328057289123535,16.12770652770996,0,0,0,972.6294298171997,8.06385326385498,8.119339942932129,1.0,2.0,False,0
9,24.858261108398438,24.811853408813477,58.014068603515625,55.022132873535156,16.803176879882812,16.25046730041504,16.803176879882812,0,0,0,969.6296691894531,8.401588439941406,8.401349067687988,1.0,2.0,False,0
10,25.188568115234375,24.811853408813477,60.038047790527344,55.022132873535156,17.845251083374023,16.25046730041504,17.845251083374023,0,0,0,966.8132104873657,8.922625541687012,8.739084243774414,1.0,2.0,False,0
11,25.35481834411621,24.811853408813477,62.344139099121094,55.022132873535156,18.470043182373047,16.25046730041504,18.470043182373047,0,0,0,963.7881107330322,9.235021591186523,9.26012134552002,1.0,2.0,False,0
12,25.705341339111328,24.811853408813477,64.57255554199219,55.022132873535156,19.395992279052734,16.25046730041504,19.395992279052734,0,0,0,960.9135894775391,9.697996139526367,9.572517395019531,1.0,2.0,False,0
13,25.77433204650879,24.811853408813477,66.79356384277344,55.022132873535156,20.2074031829834,16.25046730041504,20.2074031829834,0,0,0,957.9817991256714,10.1037015914917,10.035491943359375,1.0,2.0,False,0
14,26.073135375976562,25.692157745361328,69.12214660644531,65.91766357421875,20.495929718017578,20.55961036682129,20.495929718017578,0,0,0,954.8316583633423,10.247964859008789,10.39810562133789,1.0,2.0,False,0
15,26.02781867980957,25.692157745361328,71.02534484863281,65.91766357421875,20.98461151123047,20.55961036682129,20.98461151123047,0,0,0,951.7815952301025,10.492305755615234,10.54236888885498,1.0,2.0,False,0
16,26.268274307250977,25.692157745361328,72.76914978027344,65.91766357421875,21.47747039794922,20.55961036682129,21.47747039794922,0,0,0,948.7336206436157,10.73873519897461,10.786709785461426,1.0,2.0,False,0
17,26.32572364807129,25.692157745361328,74.49563598632812,65.91766357421875,22.303712844848633,20.55961036682129,22.303712844848633,0,0,0,945.8523378372192,11.151856422424316,11.0331392288208,1.0,2.0,False,0
